| Rank | Problem                                | Frequency    | Commonly Asked In                                          |
| ---- | -------------------------------------- | ------------ | ---------------------------------------------------------- |
| 1    | **Design ATM Machine**                 | 🔥 Very High | Amazon, JPMorgan Chase, Goldman Sachs, PayPal, Visa        |
| 2    | **Design Vending Machine**             | 🔥 Very High | Google, Flipkart, Amazon, Atlassian                        |
| 3    | **Design Parking Lot**                 | 🔥 Very High | Amazon, Walmart, Swiggy, Uber, OYO                         |
| 4    | **Design Splitwise**                   | 🔥 Very High | CRED, Swiggy, Zeta, Razorpay, PhonePe                      |
| 5    | **Design Logging System**              | 🔥 Very High | Meta, Google, Microsoft, PhonePe, Meesho                   |
| 6    | **Design Elevator System**             | 🟡 Moderate  | Uber, Arcesium, Bloomberg, Zeta, Gojek                     |
| 7    | **Design Car Rental System**           | 🟡 Moderate  | Ola, Uber, Zoomcar, Expedia, Cleartrip                     |
| 8    | **Design Inventory Management System** | 🟡 Moderate  | Amazon, Flipkart, BigBasket, Meesho, Swiggy                |
| 9    | **Design File System**                 | 🟡 Moderate  | Google, Microsoft, Adobe, Oracle, Apple                    |
| 10   | **Design Chess Game**                  | 🟠 Low       | Apple (rare), Codility, Hackathons, GameDev Interviews     |
| 11   | **Design Snake & Food Game**           | 🟠 Low       | Startups, Simulation rounds, Online assessments            |
| 12   | **Design Tic Tac Toe Game**            | 🟢 Very Low  | Infosys, ServiceNow, Startups (warm-up or freshers’ round) |
